vin,customer_name,customer_contact,service_date,odometer_reading,complaint,diagnosis,recommended,service_performed,parts_used,labor_hours_billed,technician,invoice_total,make,model,year,created_at,shop_id
4T1BF1FK0GU123456,Jane Brown,-3954,1/25/2022 0:00,14130,engine light randomly comes on,suspected alternator issue,Rotor machining or replacement,Electrical diagnostic,,0.95,Tina Brown,836.99,Honda,Civic,2017,8/4/2025 1:34,dev_shop_001
4T1BF1FK0GU123456,Jane Brown,-3954,5/25/2025 0:00,26529,steering wheel shakes bad,worn alternator bearings,Brake pad replacement,Transmission fluid flush,Battery NAPA-65,6.32,nan,296.54,Hyundai,Elantra,2005,8/4/2025 1:34,dev_shop_001
5NPE24AF8FH123456,Jane Davis,-5252,4/25/2024 0:00,1731,car won't start after sitting overnight,likely spark plugs,Sensor replacement,Spark plug replacement,,1.75,Unassigned,432.62,Toyota,Camry,2019,8/4/2025 1:34,dev_shop_001
5NPE24AF8FH123456,Jane Davis,-5252,3/30/2024 0:00,14130,trans slipping after warm up,O2 sensor fault,Cap inspection or replacement,Customer declined service,O2-SENSOR-BOSCH,1.01,Mike D.,215.27,Toyota,Camry,2024,8/4/2025 1:34,dev_shop_001
5NPE24AF8FH123456,Jane Davis,-5252,11/23/2024 0:00,26529,customer states loud knocking sound,bad starter relay,Cap inspection or replacement,Spark plug replacement,Battery NAPA-65,2.58,Unassigned,934.6,Nissan,Altima,2023,8/4/2025 1:34,dev_shop_001
SYNTHVIN000000,Jane Davis,-5252,10/18/2021 0:00,1731,strange grinding noise,likely spark plugs,Sensor replacement,Electrical diagnostic,Battery NAPA-65,3.69,John Doe,105.24,Dodge,Ram 1500,2018,8/4/2025 1:34,dev_shop_001
SYNTHVIN000000,Jane Davis,-5252,1/6/2025 0:00,14130,customer states loud knocking sound,suspected alternator issue,Sensor replacement,Head gasket replacement,Alternator Duralast,5.9,Tina Brown,762.52,VW,Jetta,2005,8/4/2025 1:34,dev_shop_001
SYNTHVIN000000,Jane Davis,-5252,6/23/2024 0:00,26529,engine light randomly comes on,O2 sensor fault,Sensor replacement,Tire balancing,Transmission fluid,1,nan,347.77,Nissan,Altima,2009,8/4/2025 1:34,dev_shop_001
SYNTHVIN000000,Jane Davis,-5252,3/12/2022 0:00,38928,steering wheel shakes bad,O2 sensor fault,Sensor replacement,Warranty repair - no charge,Alternator Duralast,6.17,Laura Smith,60.06,Chevrolet,Silverado,2021,8/4/2025 1:34,dev_shop_001
SYNTHVIN000001,John Martinez,-10834,4/23/2025 0:00,1731,engine light randomly comes on,low refrigerant,Oil pan replacement,Customer declined service,Transmission fluid,5.32,Carlos Garcia,635.56,Nissan,Altima,2010,8/4/2025 1:34,dev_shop_001
SYNTHVIN000001,John Martinez,-10834,9/8/2023 0:00,14130,steering wheel shakes bad,bad starter relay,Oil pan replacement,Transmission fluid flush,Transmission fluid,5.85,Laura Smith,120.37,Ford,Mustang,2024,8/4/2025 1:34,dev_shop_001
SYNTHVIN000001,John Martinez,-10834,4/15/2023 0:00,26529,engine light randomly comes on,unable to replicate,Oil pan replacement,Tire balancing,,3.79,Unassigned,747.91,Ford,Escape,2009,8/4/2025 1:34,dev_shop_001
SYNTHVIN000001,John Martinez,-10834,7/16/2023 0:00,38928,AC not cold enough,suspected transmission issue,Oil pan replacement,Transmission fluid flush,Brake pads - Wagner,0.21,Laura Smith,208.74,Toyota,Camry,2016,8/4/2025 1:34,dev_shop_001
SYNTHVIN000002,Robert Doe,-5757,8/22/2022 0:00,1731,oil leaking in driveway,bad starter relay,Throttle body cleaning,Brake pad replacement,SP-134A,1.6,nan,1073.09,Toyota,Camry,2017,8/4/2025 1:34,dev_shop_001
SYNTHVIN000002,Robert Doe,-5757,2/15/2022 0:00,14130,check brakes - squeak,worn alternator bearings,Throttle body cleaning,Warranty repair - no charge,,0.29,Mike D.,583.77,Dodge,Ram 1500,2009,8/4/2025 1:34,dev_shop_001
SYNTHVIN000002,Robert Doe,-5757,12/8/2022 0:00,26529,battery keeps dying,worn alternator bearings,Throttle body cleaning,Transmission fluid flush,Oil filter - FRAM PH2,2.92,Carlos Garcia,427.18,Toyota,Camry,2008,8/4/2025 1:34,dev_shop_001
SYNTHVIN000003,James Brown,-7910,7/7/2024 0:00,1731,steering wheel shakes bad,low refrigerant,Brake pad replacement,Transmission fluid flush,SP-134A,1.31,Tina Brown,1100.2,Hyundai,Elantra,2018,8/4/2025 1:34,dev_shop_001
SYNTHVIN000003,James Brown,-7910,11/14/2024 0:00,14130,AC not cold enough,O2 sensor fault,Brake pad replacement,Brake pad replacement,Oil filter - FRAM PH2,1.48,Unassigned,32.84,Ford,Mustang,2022,8/4/2025 1:34,dev_shop_001
SYNTHVIN000003,James Brown,-7910,9/18/2023 0:00,26529,steering wheel shakes bad,bad starter relay,Brake pad replacement,Electrical diagnostic,Alternator Duralast,6.65,Carlos Garcia,1127.46,Hyundai,Elantra,2014,8/4/2025 1:34,dev_shop_001
SYNTHVIN000003,James Brown,-7910,4/2/2023 0:00,38928,car won't start after sitting overnight,parasitic draw,Brake pad replacement,Transmission fluid flush,O2-SENSOR-BOSCH,4.53,Carlos Garcia,397.34,Toyota,Camry,2016,8/4/2025 1:34,dev_shop_001
SYNTHVIN000004,James Hodges,-8549,1/27/2022 0:00,1731,engine light randomly comes on,likely spark plugs,Head gasket replacement,Head gasket replacement,Transmission fluid,4.97,John Doe,483.4,Ford,Escape,2021,8/4/2025 1:34,dev_shop_001
SYNTHVIN000004,James Hodges,-8549,2/7/2023 0:00,14130,AC not cold enough,bad starter relay,Head gasket replacement,Deferred,O2-SENSOR-BOSCH,2.21,Carlos Garcia,936.18,Chevrolet,Silverado,2013,8/4/2025 1:34,dev_shop_001
SYNTHVIN000005,John Martinez,-9910,11/6/2023 0:00,1731,check brakes - squeak,parasitic draw,AC system recharge,Head gasket replacement,Transmission fluid,5.63,Carlos Garcia,806.04,Nissan,Altima,2005,8/4/2025 1:34,dev_shop_001
SYNTHVIN000005,John Martinez,-9910,7/2/2023 0:00,14130,trans slipping after warm up,unable to replicate,AC system recharge,Spark plug replacement,Battery NAPA-65,5.66,Laura Smith,490.87,Hyundai,Elantra,2007,8/4/2025 1:34,dev_shop_001
SYNTHVIN000006,James Hodges,-8549,10/24/2023 0:00,1731,car won't start after sitting overnight,suspected alternator issue,Head gasket replacement,Spark plug replacement,SP-134A,0.29,Mike D.,383.07,Nissan,Altima,2024,8/4/2025 1:34,dev_shop_001
SYNTHVIN000006,James Hodges,-8549,9/11/2024 0:00,14130,car won't start after sitting overnight,parasitic draw,Head gasket replacement,Warranty repair - no charge,SP-134A,4.72,Mike D.,469.46,Honda,Civic,2009,8/4/2025 1:34,dev_shop_001
SYNTHVIN000006,James Hodges,-8549,12/23/2022 0:00,26529,oil leaking in driveway,no fault found,Head gasket replacement,Transmission fluid flush,SP-134A,6.34,Carlos Garcia,1018.67,Jeep,Grand Cherokee,2005,8/4/2025 1:34,dev_shop_001
SYNTHVIN000007,Mike Anderson,-7461,12/14/2023 0:00,1731,strange grinding noise,worn alternator bearings,Rotor machining or replacement,Transmission fluid flush,SP-134A,4.92,John Doe,730.35,Ford,Mustang,2005,8/4/2025 1:34,dev_shop_001
SYNTHVIN000007,Mike Anderson,-7461,5/3/2023 0:00,14130,check brakes - squeak,likely spark plugs,Rotor machining or replacement,Head gasket replacement,Oil filter - FRAM PH2,6.44,Tina Brown,74.26,Hyundai,Elantra,2009,8/4/2025 1:34,dev_shop_001
SYNTHVIN000007,Mike Anderson,-7461,12/22/2022 0:00,26529,check brakes - squeak,bad starter relay,Rotor machining or replacement,Tire balancing,Battery NAPA-65,1.68,Carlos Garcia,97.49,VW,Jetta,2022,8/4/2025 1:34,dev_shop_001
SYNTHVIN000007,Mike Anderson,-7461,6/6/2025 0:00,38928,steering wheel shakes bad,O2 sensor fault,Rotor machining or replacement,Tire balancing,Alternator Duralast,3.49,Unassigned,215.1,Honda,Civic,2009,8/4/2025 1:34,dev_shop_001
SYNTHVIN000008,Carlos Smith,-9200,4/23/2025 0:00,1731,trans slipping after warm up,worn alternator bearings,Electrical diagnostic and repair,Transmission fluid flush,SP-134A,4.94,Unassigned,1129.53,Ford,Mustang,2006,8/4/2025 1:34,dev_shop_001
SYNTHVIN000008,Carlos Smith,-9200,3/21/2025 0:00,14130,check brakes - squeak,low refrigerant,Electrical diagnostic and repair,Tire balancing,,2.59,Mike D.,444.15,Hyundai,Elantra,2022,8/4/2025 1:34,dev_shop_001
SYNTHVIN000008,Carlos Smith,-9200,10/15/2022 0:00,26529,car won't start after sitting overnight,suspected transmission issue,Electrical diagnostic and repair,Spark plug replacement,Battery NAPA-65,6.67,Carlos Garcia,73.51,Honda,Civic,2005,8/4/2025 1:34,dev_shop_001
SYNTHVIN000008,Carlos Smith,-9200,10/5/2023 0:00,38928,check brakes - squeak,parasitic draw,Electrical diagnostic and repair,Head gasket replacement,Transmission fluid,0.55,John Doe,212.31,Toyota,Camry,2005,8/4/2025 1:34,dev_shop_001
SYNTHVIN000008,Carlos Smith,-9200,3/24/2023 0:00,51327,oil leaking in driveway,suspected alternator issue,Electrical diagnostic and repair,Electrical diagnostic,SP-134A,1.27,Mike D.,942.95,Hyundai,Elantra,2020,8/4/2025 1:34,dev_shop_001
SYNTHVIN000008,Carlos Smith,-9200,3/5/2023 0:00,63726,car won't start after sitting overnight,suspected transmission issue,Electrical diagnostic and repair,Tire balancing,Battery NAPA-65,2.13,Laura Smith,982.82,VW,Jetta,2008,8/4/2025 1:34,dev_shop_001
SYNTHVIN000009,Laura Johnson,-3832,6/22/2022 0:00,1731,AC not cold enough,bad starter relay,Tire balancing,Brake pad replacement,Battery NAPA-65,6.17,Mike D.,1092.27,Nissan,Altima,2005,8/4/2025 1:34,dev_shop_001
SYNTHVIN000009,Laura Johnson,-3832,2/24/2022 0:00,14130,check brakes - squeak,bad starter relay,Tire balancing,Spark plug replacement,,1.6,Mike D.,308.01,Honda,Civic,2018,8/4/2025 1:34,dev_shop_001
SYNTHVIN000009,Laura Johnson,-3832,10/30/2022 0:00,26529,check brakes - squeak,parasitic draw,Tire balancing,Brake pad replacement,Brake pads - Wagner,4.03,Tina Brown,773.48,Ford,Escape,2007,8/4/2025 1:34,dev_shop_001
SYNTHVIN000009,Laura Johnson,-3832,9/4/2021 0:00,38928,strange grinding noise,O2 sensor fault,Tire balancing,Deferred,Brake pads - Wagner,4.87,Laura Smith,46.65,Ford,Mustang,2009,8/4/2025 1:34,dev_shop_001
SYNTHVIN000010,Mike Anderson,-7461,12/16/2023 0:00,1731,AC not cold enough,suspected transmission issue,Throttle body cleaning,Spark plug replacement,SP-134A,0.79,Mike D.,507.96,Nissan,Altima,2022,8/4/2025 1:34,dev_shop_001
SYNTHVIN000010,Mike Anderson,-7461,2/19/2025 0:00,14130,check brakes - squeak,likely spark plugs,Throttle body cleaning,Deferred,SP-134A,6.25,nan,587.42,Ford,Escape,2020,8/4/2025 1:34,dev_shop_001
SYNTHVIN000010,Mike Anderson,-7461,4/8/2025 0:00,26529,battery keeps dying,parasitic draw,Throttle body cleaning,Spark plug replacement,Battery NAPA-65,6.55,Unassigned,684.73,Dodge,Ram 1500,2010,8/4/2025 1:34,dev_shop_001
SYNTHVIN000010,Mike Anderson,-7461,4/17/2023 0:00,38928,car won't start after sitting overnight,suspected transmission issue,Throttle body cleaning,Head gasket replacement,,3.62,Carlos Garcia,222.24,Chevrolet,Silverado,2011,8/4/2025 1:34,dev_shop_001
SYNTHVIN000010,Mike Anderson,-7461,3/26/2024 0:00,51327,trans slipping after warm up,O2 sensor fault,Throttle body cleaning,Warranty repair - no charge,SP-134A,3.16,nan,396.68,Ford,Mustang,2008,8/4/2025 1:34,dev_shop_001
SYNTHVIN000011,James Hodges,-8549,4/17/2024 0:00,1731,trans slipping after warm up,low refrigerant,Oil pan replacement,Deferred,Battery NAPA-65,1.84,Mike D.,1089.01,Dodge,Ram 1500,2013,8/4/2025 1:34,dev_shop_001
SYNTHVIN000011,James Hodges,-8549,12/18/2022 0:00,14130,trans slipping after warm up,suspected transmission issue,Oil pan replacement,Tire balancing,Alternator Duralast,0.45,Carlos Garcia,501.5,Ford,Escape,2017,8/4/2025 1:34,dev_shop_001
SYNTHVIN000012,James Hodges,-8549,4/26/2024 0:00,1731,AC not cold enough,parasitic draw,Brake pad replacement,Transmission fluid flush,,4.77,Unassigned,940.71,Dodge,Ram 1500,2017,8/4/2025 1:34,dev_shop_001
SYNTHVIN000012,James Hodges,-8549,1/8/2022 0:00,14130,customer states loud knocking sound,O2 sensor fault,Brake pad replacement,Warranty repair - no charge,Battery NAPA-65,5.05,John Doe,604.98,Hyundai,Elantra,2010,8/4/2025 1:34,dev_shop_001
SYNTHVIN000012,James Hodges,-8549,7/31/2025 0:00,26529,oil leaking in driveway,suspected alternator issue,Brake pad replacement,Transmission fluid flush,Brake pads - Wagner,2.74,Mike D.,120.18,Ford,Escape,2018,8/4/2025 1:34,dev_shop_001
SYNTHVIN000013,Carlos Smith,-9200,7/30/2022 0:00,1731,trans slipping after warm up,O2 sensor fault,Sensor replacement,Deferred,SP-134A,6.46,Unassigned,234.02,Hyundai,Elantra,2019,8/4/2025 1:34,dev_shop_001
SYNTHVIN000013,Carlos Smith,-9200,7/15/2022 0:00,14130,AC not cold enough,bad starter relay,Sensor replacement,Tire balancing,,0.85,Tina Brown,241,Dodge,Ram 1500,2012,8/4/2025 1:34,dev_shop_001
SYNTHVIN000014,James Brown,-7910,5/12/2022 0:00,1731,steering wheel shakes bad,O2 sensor fault,Brake pad replacement,Customer declined service,SP-134A,1.47,John Doe,75.58,Dodge,Ram 1500,2005,8/4/2025 1:34,dev_shop_001
SYNTHVIN000014,James Brown,-7910,1/24/2022 0:00,14130,engine light randomly comes on,worn alternator bearings,Brake pad replacement,Head gasket replacement,Brake pads - Wagner,5.3,nan,981.5,Nissan,Altima,2014,8/4/2025 1:34,dev_shop_001
SYNTHVIN000014,James Brown,-7910,11/17/2023 0:00,26529,oil leaking in driveway,bad starter relay,Brake pad replacement,Transmission fluid flush,Battery NAPA-65,2.45,Tina Brown,483.37,Toyota,Camry,2006,8/4/2025 1:34,dev_shop_001
SYNTHVIN000014,James Brown,-7910,7/4/2025 0:00,38928,strange grinding noise,suspected alternator issue,Brake pad replacement,Electrical diagnostic,Battery NAPA-65,4.83,John Doe,64.86,Toyota,Camry,2020,8/4/2025 1:34,dev_shop_001
SYNTHVIN000015,Carlos Smith,-9200,3/22/2022 0:00,1731,steering wheel shakes bad,unable to replicate,Brake pad replacement,Spark plug replacement,,3.13,Laura Smith,965.6,Dodge,Ram 1500,2014,8/4/2025 1:34,dev_shop_001
SYNTHVIN000015,Carlos Smith,-9200,5/30/2023 0:00,14130,AC not cold enough,O2 sensor fault,Brake pad replacement,Head gasket replacement,Battery NAPA-65,4.56,Laura Smith,1191.73,Dodge,Ram 1500,2013,8/4/2025 1:34,dev_shop_001
SYNTHVIN000016,Mike Anderson,-7461,4/19/2024 0:00,1731,strange grinding noise,no fault found,Rotor machining or replacement,Customer declined service,O2-SENSOR-BOSCH,1.73,nan,1088.96,Nissan,Altima,2007,8/4/2025 1:34,dev_shop_001
SYNTHVIN000016,Mike Anderson,-7461,11/17/2021 0:00,14130,AC not cold enough,parasitic draw,Rotor machining or replacement,Electrical diagnostic,Battery NAPA-65,3.42,nan,301.12,Nissan,Altima,2008,8/4/2025 1:34,dev_shop_001
SYNTHVIN000017,Robert Doe,-5757,1/9/2024 0:00,1731,trans slipping after warm up,worn alternator bearings,Throttle body cleaning,Customer declined service,Battery NAPA-65,6.1,Mike D.,1004.5,Honda,Civic,2011,8/4/2025 1:34,dev_shop_001
SYNTHVIN000017,Robert Doe,-5757,4/16/2022 0:00,14130,customer states loud knocking sound,suspected transmission issue,Throttle body cleaning,Deferred,Battery NAPA-65,6.5,Carlos Garcia,804.63,Toyota,Camry,2009,8/4/2025 1:34,dev_shop_001
SYNTHVIN000017,Robert Doe,-5757,7/4/2022 0:00,26529,strange grinding noise,bad starter relay,Throttle body cleaning,Transmission fluid flush,,6.77,Unassigned,154.37,Honda,Civic,2014,8/4/2025 1:34,dev_shop_001
SYNTHVIN000017,Robert Doe,-5757,6/6/2023 0:00,38928,steering wheel shakes bad,bad starter relay,Throttle body cleaning,Customer declined service,SP-134A,2.37,Laura Smith,441.27,Toyota,Camry,2014,8/4/2025 1:34,dev_shop_001
SYNTHVIN000018,Carlos Smith,-9200,4/23/2022 0:00,1731,oil leaking in driveway,low refrigerant,Electrical diagnostic and repair,Deferred,Oil filter - FRAM PH2,4.06,Tina Brown,207.19,Jeep,Grand Cherokee,2007,8/4/2025 1:34,dev_shop_001
SYNTHVIN000018,Carlos Smith,-9200,8/6/2022 0:00,14130,car won't start after sitting overnight,low refrigerant,Electrical diagnostic and repair,Spark plug replacement,O2-SENSOR-BOSCH,5.12,Mike D.,721.27,Ford,Mustang,2017,8/4/2025 1:34,dev_shop_001
SYNTHVIN000019,Laura Johnson,-3832,8/16/2021 0:00,1731,check brakes - squeak,bad starter relay,Gasket replacement,Warranty repair - no charge,SP-134A,0.95,Laura Smith,1140.53,Dodge,Ram 1500,2023,8/4/2025 1:34,dev_shop_001
SYNTHVIN000019,Laura Johnson,-3832,11/25/2024 0:00,14130,AC not cold enough,no fault found,Gasket replacement,Tire balancing,Oil filter - FRAM PH2,5.88,nan,874.18,Hyundai,Elantra,2009,8/4/2025 1:34,dev_shop_001
SYNTHVIN000020,Jane Smith,-5866,2/13/2025 0:00,1731,engine light randomly comes on,suspected transmission issue,Brake pad replacement,Transmission fluid flush,O2-SENSOR-BOSCH,3.31,John Doe,687.37,Toyota,Camry,2016,8/4/2025 1:34,dev_shop_001
SYNTHVIN000020,Jane Smith,-5866,11/3/2021 0:00,14130,oil leaking in driveway,suspected alternator issue,Brake pad replacement,Transmission fluid flush,O2-SENSOR-BOSCH,4.93,nan,1.19,Nissan,Altima,2022,8/4/2025 1:34,dev_shop_001
SYNTHVIN000020,Jane Smith,-5866,3/1/2023 0:00,26529,strange grinding noise,no fault found,Brake pad replacement,Customer declined service,Transmission fluid,5.52,Carlos Garcia,56.48,Nissan,Altima,2019,8/4/2025 1:34,dev_shop_001
SYNTHVIN000020,Jane Smith,-5866,7/22/2023 0:00,38928,check brakes - squeak,parasitic draw,Brake pad replacement,Head gasket replacement,,6.18,Tina Brown,131.7,Ford,Escape,2011,8/4/2025 1:34,dev_shop_001
SYNTHVIN000021,James Johnson,-5398,2/26/2025 0:00,1731,engine light randomly comes on,unable to replicate,Alternator replacement,Head gasket replacement,,4.41,Unassigned,323.96,Chevrolet,Silverado,2013,8/4/2025 1:34,dev_shop_001
SYNTHVIN000021,James Johnson,-5398,10/12/2021 0:00,14130,AC not cold enough,suspected transmission issue,Alternator replacement,Head gasket replacement,,3.15,Laura Smith,873.31,Honda,Civic,2023,8/4/2025 1:34,dev_shop_001
SYNTHVIN000021,James Johnson,-5398,11/28/2023 0:00,26529,customer states loud knocking sound,O2 sensor fault,Alternator replacement,Tire balancing,,6.03,Mike D.,545.57,Toyota,Camry,2020,8/4/2025 1:34,dev_shop_001
SYNTHVIN000021,James Johnson,-5398,1/17/2023 0:00,38928,battery keeps dying,O2 sensor fault,Alternator replacement,Electrical diagnostic,Battery NAPA-65,0.37,Unassigned,393.72,Hyundai,Elantra,2023,8/4/2025 1:34,dev_shop_001
