VIN,Customer name and contact info,Date,Odometer reading,Complaint,Diagnosis,Recommended,ServicePerformed,Parts used,Labor hours billed,Technician,Invoice total,Make,Model,Year,Efficiency_Deviation,Efficiency_Loss,Estimated_Loss,Repeat_45d,Prev_Date,Days_Since_Last,Complaint_Similarity,Suspected_Misdiagnosis,Cluster_ID
1C4RJFAG4FC123456,Robert Doe | +1-946-957-3855,2022-01-17,8947,Steering wheel vibration,Low refrigerant,Rotor machining or replacement,Transmission fluid flush,Spark plugs,1.1,Carlos Garcia,212.68,Jeep,Grand Cherokee,2015,-0.8151055423130481,0.0,0.0,0,,,0.0,0,4
1GNSKJE79DR123456,Jane Smith | +1-469-282-5116,2021-12-09,68497,Check engine light on,Loose gas cap,Brake pad replacement,Brake pad replacement,Spark plugs,1.3,Carlos Garcia,228.4,Chevrolet,Suburban,2013,-0.6057224612525651,0.0,0.0,0,,,0.0,0,0
1GNSKJE79DR123456,Jane Smith | +1-469-282-5116,2022-08-27,77632,battery keeps dying,Blown head gasket,Brake pad replacement,Alternator replacement,Starter motor,2.3,Mike Johnson,441.48,Chevrolet,Suburban,2013,0.44119294404985004,0.0,0.0,0,2021-12-09,261.0,0.0,0,0
1HGCM82633A004352,Emily Johnson | +1-426-123-2422,2022-01-07,79021,Grinding noise when starting,Cracked oil pan,Oil pan replacement,Spark plug replacement,Alternator,1.7,Laura Smith,422.17,Honda,Accord,2003,-0.18695629913159903,0.0,0.0,0,,,0.0,0,0
1HGCM82633A004352,Emily Johnson | +1-426-123-2422,2022-10-06,88541,battery drain,Oil pan gasket leak,AC system recharge,Brake pad replacement,Transmission fluid,2.2,Tina Brown,325.21,Honda,Accord,2003,0.3365014035196089,0.0,0.0,0,2022-01-07,272.0,0.0,0,0
1HGCM82633A004352,Emily Johnson | +1-426-123-2422,2023-06-08,97116,Transmission slipping,Transmission fluid low,Transmission fluid flush,Sensor replacement,Brake pad set,1.3,John Doe,302.0,Honda,Accord,2003,-0.6057224612525651,0.0,0.0,0,2022-10-06,245.0,0.0,0,0
1J4FA49S01P331421,James Hodges | +1-611-101-7838,2022-01-08,6817,Battery keeps dying,Starter motor worn,Brake pad replacement,Customer declined service,Spark plugs,1.3,Tina Brown,299.59,Jeep,Wrangler,2001,-0.6057224612525651,0.0,0.0,0,,,0.0,0,4
1J4FA49S01P331421,James Hodges | +1-611-101-7838,2022-12-18,18857,Transmission slipping,Loose gas cap,Battery replacement,Spark plug replacement,Head gasket,4.8,Laura Smith,672.26,Jeep,Wrangler,2001,3.0584814573058883,100.839,100.839,0,2022-01-08,344.0,0.0,2,3
1J4FA49S01P331421,James Hodges | +1-611-101-7838,2023-12-02,31072,car stalls sometimes,Loose battery terminal,Head gasket replacement,Spark plug replacement,Head gasket,4.8,Mike Johnson,848.43,Jeep,Wrangler,2001,3.0584814573058883,127.26449999999998,127.26449999999998,0,2022-12-18,349.0,0.0,2,3
1J4FA49S01P331421,James Hodges | +1-611-101-7838,2023-12-26,31912,Follow-up: car stalls sometimes,Loose battery terminal,Head gasket replacement,Spark plug replacement,Head gasket,4.8,Mike Johnson,848.43,Jeep,Wrangler,2001,3.0584814573058883,127.26449999999998,127.26449999999998,1,2023-12-02,24.0,0.7748956817756418,2,3
1N4AL3AP9FC123456,Mike Anderson | +1-343-747-6372,2022-01-02,20159,grinding noise on start,Worn brake pads,Rotor machining or replacement,Cap inspection or replacement,Alternator,1.6,Laura Smith,368.83,Nissan,Altima,2015,-0.29164783966184044,0.0,0.0,0,,,0.0,0,2
1N4AL3AP9FC123456,Mike Anderson | +1-343-747-6372,2023-07-11,39584,AC not cooling,O2 sensor fault,Throttle body cleaning,Rotor machining or replacement,Alternator,1.6,Carlos Garcia,370.72,Nissan,Altima,2015,-0.29164783966184044,0.0,0.0,0,2022-01-02,555.0,0.0,0,2
2HGFB2F59CH123456,John Martinez | +1-598-904-9333,2022-01-05,34428,Excessive exhaust smoke,Starter motor worn,Oil pan replacement,Oil pan gasket replacement,Throttle cleaner,1.7,Laura Smith,265.94,Honda,Civic,2012,-0.18695629913159903,0.0,0.0,0,,,0.0,0,2
2HGFB2F59CH123456,John Martinez | +1-598-904-9333,2023-06-29,53328,grinding noise on start,Faulty O2 sensor,Cap inspection or replacement,Transmission fluid flush,Oil pan gasket,2.7,Laura Smith,433.81,Honda,Civic,2012,0.8599591061708165,65.0715,65.0715,0,2022-01-05,540.0,0.0,0,1
2T1BURHE0FC409999,John Martinez | +1-843-689-8379,2021-12-28,45708,Grinding noise when starting,O2 sensor fault,AC system recharge,Throttle body cleaning,Refrigerant,1.1,Laura Smith,250.76,Toyota,Corolla,2015,-0.8151055423130481,0.0,0.0,0,,,0.0,0,4
2T1BURHE0FC409999,John Martinez | +1-843-689-8379,2023-01-02,58658,Brakes squeaking,Cracked oil pan,AC system recharge,Head gasket replacement,Starter motor,1.6,John Doe,345.45,Toyota,Corolla,2015,-0.29164783966184044,0.0,0.0,0,2021-12-28,370.0,0.0,0,2
3GNEK18R5XG118448,Carlos Smith | +1-498-228-8475,2021-12-25,79823,oil leak,Loose battery terminal,Sensor replacement,Alternator replacement,Refrigerant,1.3,Carlos Garcia,290.05,Chevrolet,Tahoe,1999,-0.6057224612525651,0.0,0.0,0,,,0.0,0,0
3GNEK18R5XG118448,Carlos Smith | +1-498-228-8475,2023-06-06,98303,car stalls sometimes,Unbalanced tires,Oil pan replacement,Electrical diagnostic and repair,Refrigerant,1.2,Laura Smith,277.05,Chevrolet,Tahoe,1999,-0.7104140017828067,0.0,0.0,0,2021-12-25,528.0,0.0,0,0
3VW2K7AJ5DM123456,Laura Smith | +1-492-562-3404,2021-12-18,60897,Check engine light on,Worn alternator bearings,Alternator replacement,Deferred,Alternator,2.2,Mike Johnson,476.12,Volkswagen,Jetta,2013,0.3365014035196089,0.0,0.0,0,,,0.0,0,2
3VW2K7AJ5DM123456,Laura Smith | +1-492-562-3404,2022-12-19,73707,Brakes squeaking,Starter motor worn,Transmission fluid flush,Electrical diagnostic and repair,Brake pad set,1.1,Mike Johnson,255.43,Volkswagen,Jetta,2013,-0.8151055423130481,0.0,0.0,0,2021-12-18,366.0,0.0,0,0
4T1BF1FK0GU123456,Jane Brown | +1-871-515-2569,2022-01-31,34084,battery keeps dying,Parasitic draw,Gasket replacement,Rotor machining or replacement,Wheel weights,0.6,Carlos Garcia,102.44,Toyota,Camry,2016,-1.3385632449642557,0.0,0.0,0,,,0.0,0,4
4T1BF1FK0GU123456,Jane Brown | +1-871-515-2569,2023-01-16,46334,car stalls sometimes,Faulty spark plugs,Rotor machining or replacement,Customer declined service,Spark plugs,1.6,Mike Johnson,317.15,Toyota,Camry,2016,-0.29164783966184044,0.0,0.0,0,2022-01-31,350.0,0.0,0,2
4T1BF1FK0GU123456,Jane Brown | +1-871-515-2569,2023-12-29,58479,Steering wheel vibration,Blown head gasket,Brake pad replacement,Transmission fluid flush,Starter motor,1.9,Carlos Garcia,362.69,Toyota,Camry,2016,0.022426781928883983,0.0,0.0,0,2023-01-16,347.0,0.0,0,2
5NPE24AF8FH123456,Jane Davis | +1-706-187-4360,2022-01-20,39577,Grinding noise when starting,Dirty throttle body,Sensor replacement,Battery replacement,Throttle cleaner,1.1,Laura Smith,218.07,Hyundai,Sonata,2015,-0.8151055423130481,0.0,0.0,0,,,0.0,0,4
5NPE24AF8FH123456,Jane Davis | +1-706-187-4360,2023-01-14,52142,Brakes squeaking,Worn brake pads,Cap inspection or replacement,Rotor machining or replacement,Starter motor,2.2,Laura Smith,361.17,Hyundai,Sonata,2015,0.3365014035196089,0.0,0.0,0,2022-01-20,359.0,0.0,0,2
5NPE24AF8FH123456,Jane Davis | +1-706-187-4360,2023-02-08,53017,Follow-up: Brakes squeaking,Worn brake pads,Cap inspection or replacement,Rotor machining or replacement,Starter motor,2.2,Laura Smith,361.17,Hyundai,Sonata,2015,0.3365014035196089,0.0,0.0,1,2023-01-14,25.0,0.735763635557348,1,2
SYNTHVIN000000,Jane Davis | +1-706-187-4360,2022-01-22,49459,Grinding noise when starting,Dirty throttle body,Sensor replacement,Battery replacement,Throttle cleaner,1.1,Laura Smith,218.07,Hyundai,Sonata,2015,-0.8151055423130481,0.0,0.0,0,,,0.0,0,4
SYNTHVIN000000,Jane Davis | +1-706-187-4360,2022-09-13,57649,Grinding noise when starting,Dirty throttle body,Sensor replacement,Battery replacement,Throttle cleaner,1.1,Laura Smith,218.07,Hyundai,Sonata,2015,-0.8151055423130481,0.0,0.0,0,2022-01-22,234.0,1.0,0,4
SYNTHVIN000000,Jane Davis | +1-706-187-4360,2023-06-08,67029,Grinding noise when starting,Dirty throttle body,Sensor replacement,Battery replacement,Throttle cleaner,1.1,Laura Smith,218.07,Hyundai,Sonata,2015,-0.8151055423130481,0.0,0.0,0,2022-09-13,268.0,1.0,0,0
SYNTHVIN000000,Jane Davis | +1-706-187-4360,2024-04-26,78334,Grinding noise when starting,Dirty throttle body,Sensor replacement,Battery replacement,Throttle cleaner,1.1,Laura Smith,218.07,Hyundai,Sonata,2015,-0.8151055423130481,0.0,0.0,0,2023-06-08,323.0,1.0,0,0
SYNTHVIN000001,John Martinez | +1-598-904-9333,2021-12-03,78752,Excessive exhaust smoke,Starter motor worn,Oil pan replacement,Oil pan gasket replacement,Throttle cleaner,1.7,Laura Smith,265.94,Honda,Civic,2012,-0.18695629913159903,0.0,0.0,0,,,0.0,0,0
SYNTHVIN000001,John Martinez | +1-598-904-9333,2022-10-01,89322,Excessive exhaust smoke,Starter motor worn,Oil pan replacement,Oil pan gasket replacement,Throttle cleaner,1.7,Laura Smith,265.94,Honda,Civic,2012,-0.18695629913159903,0.0,0.0,0,2021-12-03,302.0,1.0,0,0
SYNTHVIN000001,John Martinez | +1-598-904-9333,2023-06-09,98107,Excessive exhaust smoke,Starter motor worn,Oil pan replacement,Oil pan gasket replacement,Throttle cleaner,1.7,Laura Smith,265.94,Honda,Civic,2012,-0.18695629913159903,0.0,0.0,0,2022-10-01,251.0,1.0,0,0
SYNTHVIN000001,John Martinez | +1-598-904-9333,2024-03-11,107767,Excessive exhaust smoke,Starter motor worn,Oil pan replacement,Oil pan gasket replacement,Throttle cleaner,1.7,Laura Smith,265.94,Honda,Civic,2012,-0.18695629913159903,0.0,0.0,0,2023-06-09,276.0,1.0,0,0
SYNTHVIN000002,Robert Doe | +1-946-957-3855,2022-01-23,26782,steering vibration,Faulty spark plugs,Throttle body cleaning,Electrical diagnostic and repair,Wheel weights,0.9,Tina Brown,248.54,Jeep,Grand Cherokee,2015,-1.0244886233735313,0.0,0.0,0,,,0.0,0,4
SYNTHVIN000002,Robert Doe | +1-946-957-3855,2022-12-21,38402,steering vibration,Faulty spark plugs,Throttle body cleaning,Electrical diagnostic and repair,Wheel weights,0.9,Tina Brown,248.54,Jeep,Grand Cherokee,2015,-1.0244886233735313,0.0,0.0,0,2022-01-23,332.0,1.0000000000000002,0,4
SYNTHVIN000002,Robert Doe | +1-946-957-3855,2023-12-13,50897,steering vibration,Faulty spark plugs,Throttle body cleaning,Electrical diagnostic and repair,Wheel weights,0.9,Tina Brown,248.54,Jeep,Grand Cherokee,2015,-1.0244886233735313,0.0,0.0,0,2022-12-21,357.0,1.0000000000000002,0,4
SYNTHVIN000003,James Brown | +1-508-906-6497,2022-01-26,76077,Grinding noise when starting,O2 sensor fault,Brake pad replacement,Gasket replacement,Starter motor,2.7,Carlos Garcia,465.73,Dodge,Ram 1500,2011,0.8599591061708165,69.8595,69.8595,0,,,0.0,0,1
SYNTHVIN000003,James Brown | +1-508-906-6497,2022-10-05,84897,Grinding noise when starting,O2 sensor fault,Brake pad replacement,Gasket replacement,Starter motor,2.7,Carlos Garcia,465.73,Dodge,Ram 1500,2011,0.8599591061708165,69.8595,69.8595,0,2022-01-26,252.0,1.0,0,1
SYNTHVIN000003,James Brown | +1-508-906-6497,2023-06-27,94172,Grinding noise when starting,O2 sensor fault,Brake pad replacement,Gasket replacement,Starter motor,2.7,Carlos Garcia,465.73,Dodge,Ram 1500,2011,0.8599591061708165,69.8595,69.8595,0,2022-10-05,265.0,1.0,0,1
SYNTHVIN000003,James Brown | +1-508-906-6497,2024-04-13,104357,Grinding noise when starting,O2 sensor fault,Brake pad replacement,Gasket replacement,Starter motor,2.7,Carlos Garcia,465.73,Dodge,Ram 1500,2011,0.8599591061708165,69.8595,69.8595,0,2023-06-27,291.0,1.0,0,1
SYNTHVIN000004,James Hodges | +1-611-101-7838,2021-12-14,74158,car stalls sometimes,Loose battery terminal,Head gasket replacement,Spark plug replacement,Head gasket,4.8,Mike Johnson,848.43,Jeep,Wrangler,2001,3.0584814573058883,127.26449999999998,127.26449999999998,0,,,0.0,2,3
SYNTHVIN000004,James Hodges | +1-611-101-7838,2023-07-09,94178,car stalls sometimes,Loose battery terminal,Head gasket replacement,Spark plug replacement,Head gasket,4.8,Mike Johnson,848.43,Jeep,Wrangler,2001,3.0584814573058883,127.26449999999998,127.26449999999998,0,2021-12-14,572.0,1.0000000000000002,2,3
SYNTHVIN000005,John Martinez | +1-843-689-8379,2022-01-31,15355,Brakes squeaking,Cracked oil pan,AC system recharge,Head gasket replacement,Starter motor,1.6,John Doe,345.45,Toyota,Corolla,2015,-0.29164783966184044,0.0,0.0,0,,,0.0,0,2
SYNTHVIN000005,John Martinez | +1-843-689-8379,2022-02-27,16300,Follow-up: Brakes squeaking,Cracked oil pan,AC system recharge,Head gasket replacement,Starter motor,1.6,John Doe,345.45,Toyota,Corolla,2015,-0.29164783966184044,0.0,0.0,1,2022-01-31,27.0,0.735763635557348,1,2
SYNTHVIN000006,James Hodges | +1-611-101-7838,2021-12-19,52189,car stalls sometimes,Loose battery terminal,Head gasket replacement,Spark plug replacement,Head gasket,4.8,Mike Johnson,848.43,Jeep,Wrangler,2001,3.0584814573058883,127.26449999999998,127.26449999999998,0,,,0.0,2,3
SYNTHVIN000006,James Hodges | +1-611-101-7838,2022-12-18,64929,car stalls sometimes,Loose battery terminal,Head gasket replacement,Spark plug replacement,Head gasket,4.8,Mike Johnson,848.43,Jeep,Wrangler,2001,3.0584814573058883,127.26449999999998,127.26449999999998,0,2021-12-19,364.0,1.0000000000000002,2,3
SYNTHVIN000006,James Hodges | +1-611-101-7838,2024-01-08,78439,car stalls sometimes,Loose battery terminal,Head gasket replacement,Spark plug replacement,Head gasket,4.8,Mike Johnson,848.43,Jeep,Wrangler,2001,3.0584814573058883,127.26449999999998,127.26449999999998,0,2022-12-18,386.0,1.0000000000000002,2,3
SYNTHVIN000007,Mike Anderson | +1-343-747-6372,2021-12-22,58671,grinding noise on start,Worn brake pads,Rotor machining or replacement,Cap inspection or replacement,Alternator,1.6,Laura Smith,368.83,Nissan,Altima,2015,-0.29164783966184044,0.0,0.0,0,,,0.0,0,2
SYNTHVIN000007,Mike Anderson | +1-343-747-6372,2022-10-26,69451,grinding noise on start,Worn brake pads,Rotor machining or replacement,Cap inspection or replacement,Alternator,1.6,Laura Smith,368.83,Nissan,Altima,2015,-0.29164783966184044,0.0,0.0,0,2021-12-22,308.0,1.0000000000000002,0,0
SYNTHVIN000007,Mike Anderson | +1-343-747-6372,2023-07-29,79111,grinding noise on start,Worn brake pads,Rotor machining or replacement,Cap inspection or replacement,Alternator,1.6,Laura Smith,368.83,Nissan,Altima,2015,-0.29164783966184044,0.0,0.0,0,2022-10-26,276.0,1.0000000000000002,0,0
SYNTHVIN000007,Mike Anderson | +1-343-747-6372,2024-04-19,88386,grinding noise on start,Worn brake pads,Rotor machining or replacement,Cap inspection or replacement,Alternator,1.6,Laura Smith,368.83,Nissan,Altima,2015,-0.29164783966184044,0.0,0.0,0,2023-07-29,265.0,1.0000000000000002,0,0
SYNTHVIN000008,Carlos Smith | +1-498-228-8475,2021-12-16,18406,Transmission slipping,Loose gas cap,Electrical diagnostic and repair,Spark plug replacement,Alternator,1.7,Carlos Garcia,316.4,Chevrolet,Tahoe,1999,-0.18695629913159903,0.0,0.0,0,,,0.0,0,2
SYNTHVIN000008,Carlos Smith | +1-498-228-8475,2022-01-12,19351,Follow-up: Transmission slipping,Loose gas cap,Electrical diagnostic and repair,Spark plug replacement,Alternator,1.7,Carlos Garcia,316.4,Chevrolet,Tahoe,1999,-0.18695629913159903,0.0,0.0,1,2021-12-16,27.0,0.7688625318627549,1,2
SYNTHVIN000008,Carlos Smith | +1-498-228-8475,2022-07-24,26106,Transmission slipping,Loose gas cap,Electrical diagnostic and repair,Spark plug replacement,Alternator,1.7,Carlos Garcia,316.4,Chevrolet,Tahoe,1999,-0.18695629913159903,0.0,0.0,0,2022-01-12,193.0,1.0000000000000002,0,2
SYNTHVIN000008,Carlos Smith | +1-498-228-8475,2023-03-01,33806,Transmission slipping,Loose gas cap,Electrical diagnostic and repair,Spark plug replacement,Alternator,1.7,Carlos Garcia,316.4,Chevrolet,Tahoe,1999,-0.18695629913159903,0.0,0.0,0,2022-07-24,220.0,1.0000000000000002,0,2
SYNTHVIN000008,Carlos Smith | +1-498-228-8475,2023-10-30,42311,Transmission slipping,Loose gas cap,Electrical diagnostic and repair,Spark plug replacement,Alternator,1.7,Carlos Garcia,316.4,Chevrolet,Tahoe,1999,-0.18695629913159903,0.0,0.0,0,2023-03-01,243.0,1.0000000000000002,0,2
SYNTHVIN000008,Carlos Smith | +1-498-228-8475,2024-06-19,50466,Transmission slipping,Loose gas cap,Electrical diagnostic and repair,Spark plug replacement,Alternator,1.7,Carlos Garcia,316.4,Chevrolet,Tahoe,1999,-0.18695629913159903,0.0,0.0,0,2023-10-30,233.0,1.0000000000000002,0,2
SYNTHVIN000009,Laura Johnson | +1-962-574-2297,2022-01-25,9307,Excessive exhaust smoke,Worn gasket,Tire balancing,Tire balancing,Wheel weights,0.9,Tina Brown,222.41,Ford,Escape,2014,-1.0244886233735313,0.0,0.0,0,,,0.0,0,4
SYNTHVIN000009,Laura Johnson | +1-962-574-2297,2022-10-20,18687,Excessive exhaust smoke,Worn gasket,Tire balancing,Tire balancing,Wheel weights,0.9,Tina Brown,222.41,Ford,Escape,2014,-1.0244886233735313,0.0,0.0,0,2022-01-25,268.0,1.0,0,4
SYNTHVIN000009,Laura Johnson | +1-962-574-2297,2023-07-15,28067,Excessive exhaust smoke,Worn gasket,Tire balancing,Tire balancing,Wheel weights,0.9,Tina Brown,222.41,Ford,Escape,2014,-1.0244886233735313,0.0,0.0,0,2022-10-20,268.0,1.0,0,4
SYNTHVIN000009,Laura Johnson | +1-962-574-2297,2024-04-16,37727,Excessive exhaust smoke,Worn gasket,Tire balancing,Tire balancing,Wheel weights,0.9,Tina Brown,222.41,Ford,Escape,2014,-1.0244886233735313,0.0,0.0,0,2023-07-15,276.0,1.0,0,4
SYNTHVIN000010,Mike Anderson | +1-343-747-6372,2021-12-22,45011,AC not cooling,O2 sensor fault,Throttle body cleaning,Rotor machining or replacement,Alternator,1.6,Carlos Garcia,370.72,Nissan,Altima,2015,-0.29164783966184044,0.0,0.0,0,,,0.0,0,2
SYNTHVIN000010,Mike Anderson | +1-343-747-6372,2022-09-30,54881,AC not cooling,O2 sensor fault,Throttle body cleaning,Rotor machining or replacement,Alternator,1.6,Carlos Garcia,370.72,Nissan,Altima,2015,-0.29164783966184044,0.0,0.0,0,2021-12-22,282.0,1.0,0,2
SYNTHVIN000010,Mike Anderson | +1-343-747-6372,2023-07-30,65486,AC not cooling,O2 sensor fault,Throttle body cleaning,Rotor machining or replacement,Alternator,1.6,Carlos Garcia,370.72,Nissan,Altima,2015,-0.29164783966184044,0.0,0.0,0,2022-09-30,303.0,1.0,0,0
SYNTHVIN000010,Mike Anderson | +1-343-747-6372,2024-04-04,74201,AC not cooling,O2 sensor fault,Throttle body cleaning,Rotor machining or replacement,Alternator,1.6,Carlos Garcia,370.72,Nissan,Altima,2015,-0.29164783966184044,0.0,0.0,0,2023-07-30,249.0,1.0,0,0
SYNTHVIN000010,Mike Anderson | +1-343-747-6372,2024-04-13,74516,Follow-up: AC not cooling,O2 sensor fault,Throttle body cleaning,Rotor machining or replacement,Alternator,1.6,Carlos Garcia,370.72,Nissan,Altima,2015,-0.29164783966184044,0.0,0.0,1,2024-04-04,9.0,0.8390053397734138,1,0
SYNTHVIN000011,James Hodges | +1-611-101-7838,2021-12-24,40092,Check engine light on,Cracked oil pan,Oil pan replacement,Sensor replacement,Transmission fluid,2.5,Tina Brown,415.18,Jeep,Wrangler,2001,0.6505760251103333,62.277,62.277,0,,,0.0,0,1
SYNTHVIN000011,James Hodges | +1-611-101-7838,2023-06-02,58467,Check engine light on,Cracked oil pan,Oil pan replacement,Sensor replacement,Transmission fluid,2.5,Tina Brown,415.18,Jeep,Wrangler,2001,0.6505760251103333,62.277,62.277,0,2021-12-24,525.0,1.0,0,1
SYNTHVIN000012,James Hodges | +1-611-101-7838,2021-12-08,37415,Battery keeps dying,Starter motor worn,Brake pad replacement,Customer declined service,Spark plugs,1.3,Tina Brown,299.59,Jeep,Wrangler,2001,-0.6057224612525651,0.0,0.0,0,,,0.0,0,4
SYNTHVIN000012,James Hodges | +1-611-101-7838,2022-12-30,50960,Battery keeps dying,Starter motor worn,Brake pad replacement,Customer declined service,Spark plugs,1.3,Tina Brown,299.59,Jeep,Wrangler,2001,-0.6057224612525651,0.0,0.0,0,2021-12-08,387.0,1.0,0,4
SYNTHVIN000012,James Hodges | +1-611-101-7838,2024-01-25,64645,Battery keeps dying,Starter motor worn,Brake pad replacement,Customer declined service,Spark plugs,1.3,Tina Brown,299.59,Jeep,Wrangler,2001,-0.6057224612525651,0.0,0.0,0,2022-12-30,391.0,1.0,0,0
SYNTHVIN000013,Carlos Smith | +1-498-228-8475,2022-01-23,10734,oil leak,Loose battery terminal,Sensor replacement,Alternator replacement,Refrigerant,1.3,Carlos Garcia,290.05,Chevrolet,Tahoe,1999,-0.6057224612525651,0.0,0.0,0,,,0.0,0,4
SYNTHVIN000013,Carlos Smith | +1-498-228-8475,2022-02-13,11469,Follow-up: oil leak,Loose battery terminal,Sensor replacement,Alternator replacement,Refrigerant,1.3,Carlos Garcia,290.05,Chevrolet,Tahoe,1999,-0.6057224612525651,0.0,0.0,1,2022-01-23,21.0,0.8281040499206904,1,4
SYNTHVIN000014,James Brown | +1-508-906-6497,2022-01-29,44580,Grinding noise when starting,O2 sensor fault,Brake pad replacement,Gasket replacement,Starter motor,2.7,Carlos Garcia,465.73,Dodge,Ram 1500,2011,0.8599591061708165,69.8595,69.8595,0,,,0.0,0,1
SYNTHVIN000014,James Brown | +1-508-906-6497,2022-10-08,53400,Grinding noise when starting,O2 sensor fault,Brake pad replacement,Gasket replacement,Starter motor,2.7,Carlos Garcia,465.73,Dodge,Ram 1500,2011,0.8599591061708165,69.8595,69.8595,0,2022-01-29,252.0,1.0,0,1
SYNTHVIN000014,James Brown | +1-508-906-6497,2023-06-25,62500,Grinding noise when starting,O2 sensor fault,Brake pad replacement,Gasket replacement,Starter motor,2.7,Carlos Garcia,465.73,Dodge,Ram 1500,2011,0.8599591061708165,69.8595,69.8595,0,2022-10-08,260.0,1.0,0,1
SYNTHVIN000014,James Brown | +1-508-906-6497,2024-03-31,72300,Grinding noise when starting,O2 sensor fault,Brake pad replacement,Gasket replacement,Starter motor,2.7,Carlos Garcia,465.73,Dodge,Ram 1500,2011,0.8599591061708165,69.8595,69.8595,0,2023-06-25,280.0,1.0,0,1
SYNTHVIN000015,Carlos Smith | +1-498-228-8475,2022-01-01,7356,Battery keeps dying,Faulty O2 sensor,Brake pad replacement,Customer declined service,Brake pad set,1.4,Laura Smith,261.19,Chevrolet,Tahoe,1999,-0.5010309207223237,0.0,0.0,0,,,0.0,0,4
